vote_id,date,year,session,wahlperiode,bill_german_title,bill_english_title,topic_category,drucksache,bsb_volume_id,bsb_url,source
15,1921-11-10,1921,149. Sitzung,1.WP,Fleischbeschaugesetz – Novelle,Meat Inspection Law – Amendment,Meat / Livestock,,bsb00000032,https://www.digitale-sammlungen.de/de/view/bsb00000032,BSB Stenographische Berichte / DWDS D*/reichstag corpus
16,1921-12-15,1921,161. Sitzung,1.WP,Antrag betreffend Notlage der Landwirtschaft,Motion on the Emergency of Agriculture,Agricultural Emergency,,bsb00000033,https://www.digitale-sammlungen.de/de/view/bsb00000033,BSB Stenographische Berichte / DWDS D*/reichstag corpus
17,1922-01-27,1922,170. Sitzung,1.WP,Reichssiedlungsgesetz – Novelle – Schlußabstimmung,Reich Settlement Law – Amendment – final vote,Land Reform / Settlement,,bsb00000035,https://www.digitale-sammlungen.de/de/view/bsb00000035,BSB Stenographische Berichte / DWDS D*/reichstag corpus
18,1922-03-09,1922,185. Sitzung,1.WP,Aufhebung der Getreideumlage – namentliche Abstimmung,Abolition of Grain Levy – roll call vote,Grain Market Regulation,,bsb00000036,https://www.digitale-sammlungen.de/de/view/bsb00000036,BSB Stenographische Berichte / DWDS D*/reichstag corpus
19,1922-03-16,1922,190. Sitzung,1.WP,Gesetz über die Aufhebung der Fideikommisse – Schlußabstimmung,Law on Abolition of Entailed Estates – final vote,Land Reform,,bsb00000036,https://www.digitale-sammlungen.de/de/view/bsb00000036,BSB Stenographische Berichte / DWDS D*/reichstag corpus
20,1922-04-04,1922,198. Sitzung,1.WP,Getreidezollgesetz – Erhöhung der Agrarzölle,Grain Tariff Law – Increase of agricultural tariffs,Agricultural Tariffs,,bsb00000037,https://www.digitale-sammlungen.de/de/view/bsb00000037,BSB Stenographische Berichte / DWDS D*/reichstag corpus
21,1922-05-18,1922,211. Sitzung,1.WP,Haushalt Reichsministerium für Ernährung und Landwirtschaft 1922,Budget Ministry of Food and Agriculture 1922,Agricultural Budget,,bsb00000038,https://www.digitale-sammlungen.de/de/view/bsb00000038,BSB Stenographische Berichte / DWDS D*/reichstag corpus
22,1922-06-08,1922,220. Sitzung,1.WP,Viehseuchengesetz – Novelle,Livestock Epidemic Law – Amendment,Livestock / Animal Health,,bsb00000038,https://www.digitale-sammlungen.de/de/view/bsb00000038,BSB Stenographische Berichte / DWDS D*/reichstag corpus
23,1922-07-06,1922,235. Sitzung,1.WP,Antrag betreffend Aufwertung landwirtschaftlicher Hypotheken,Motion on Revaluation of Agricultural Mortgages,Agricultural Mortgages,,bsb00000039,https://www.digitale-sammlungen.de/de/view/bsb00000039,BSB Stenographische Berichte / DWDS D*/reichstag corpus
24,1922-10-12,1922,265. Sitzung,1.WP,Zolltarifnovelle – Getreide und Viehpositionen,Tariff Amendment – Grain and livestock positions,Agricultural Tariffs,,bsb00000040,https://www.digitale-sammlungen.de/de/view/bsb00000040,BSB Stenographische Berichte / DWDS D*/reichstag corpus
25,1922-12-14,1922,290. Sitzung,1.WP,Gesetz über die Einfuhr landwirtschaftlicher Erzeugnisse,Law on Import of Agricultural Products,Agricultural Trade,,bsb00000040,https://www.digitale-sammlungen.de/de/view/bsb00000040,BSB Stenographische Berichte / DWDS D*/reichstag corpus
26,1923-02-08,1923,303. Sitzung,1.WP,Branntweinmonopolgesetz – Novelle,Spirits Monopoly Law – Amendment,Spirits / Distilling,,bsb00000041,https://www.digitale-sammlungen.de/de/view/bsb00000041,BSB Stenographische Berichte / DWDS D*/reichstag corpus
27,1923-03-06,1923,310. Sitzung,1.WP,Antrag auf Sicherung der Landwirtschaft gegen Hypothekenaufwertung,Motion on Securing Agriculture against Mortgage Revaluation,Agricultural Mortgages,,bsb00000041,https://www.digitale-sammlungen.de/de/view/bsb00000041,BSB Stenographische Berichte / DWDS D*/reichstag corpus
28,1923-03-20,1923,318. Sitzung,1.WP,Reichssiedlungsgesetz – Zweite Novelle,Reich Settlement Law – Second Amendment,Land Reform / Settlement,,bsb00000042,https://www.digitale-sammlungen.de/de/view/bsb00000042,BSB Stenographische Berichte / DWDS D*/reichstag corpus
29,1923-04-18,1923,325. Sitzung,1.WP,Zuckersteuernovelle,Sugar Tax Amendment,Sugar Taxation,,bsb00000042,https://www.digitale-sammlungen.de/de/view/bsb00000042,BSB Stenographische Berichte / DWDS D*/reichstag corpus
30,1923-06-05,1923,340. Sitzung,1.WP,Haushalt Reichsministerium für Ernährung und Landwirtschaft 1923,Budget Ministry of Food and Agriculture 1923,Agricultural Budget,,bsb00000043,https://www.digitale-sammlungen.de/de/view/bsb00000043,BSB Stenographische Berichte / DWDS D*/reichstag corpus
31,1923-07-20,1923,355. Sitzung,1.WP,Milchgesetz – Schlußabstimmung,Milk Law – final vote,Milk / Dairy Regulation,,bsb00000043,https://www.digitale-sammlungen.de/de/view/bsb00000043,BSB Stenographische Berichte / DWDS D*/reichstag corpus
32,1923-08-14,1923,360. Sitzung,1.WP,Verordnung über die Errichtung der Deutschen Rentenbank – Bestätigung,Ordinance on German Rentenbank – confirmation,Rural Credit / Monetary Stabilisation,,bsb00000044,https://www.digitale-sammlungen.de/de/view/bsb00000044,BSB Stenographische Berichte / DWDS D*/reichstag corpus
33,1923-10-26,1923,372. Sitzung,1.WP,Aufwertungsgesetz – landwirtschaftliche Hypotheken,Revaluation Law – agricultural mortgages,Agricultural Mortgages,,bsb00000044,https://www.digitale-sammlungen.de/de/view/bsb00000044,BSB Stenographische Berichte / DWDS D*/reichstag corpus
34,1924-06-05,1924,5. Sitzung,2.WP,Zolltarifgesetz – Erhöhung der Agrarzölle – Gesamtabstimmung,Customs Tariff Law – Agricultural tariff increase – final vote,Agricultural Tariffs,,bsb00000047,https://www.digitale-sammlungen.de/de/view/bsb00000047,BSB Stenographische Berichte / DWDS D*/reichstag corpus
35,1924-06-19,1924,11. Sitzung,2.WP,Antrag DNVP auf Erhöhung der Getreidezölle,DNVP motion for increase of grain tariffs,Grain Tariff,,bsb00000048,https://www.digitale-sammlungen.de/de/view/bsb00000048,BSB Stenographische Berichte / DWDS D*/reichstag corpus
36,1924-07-10,1924,18. Sitzung,2.WP,Viehseuchengesetz – Novelle – Schlußabstimmung,Livestock Epidemic Law – Amendment – final vote,Livestock / Animal Health,,bsb00000049,https://www.digitale-sammlungen.de/de/view/bsb00000049,BSB Stenographische Berichte / DWDS D*/reichstag corpus
37,1924-07-24,1924,23. Sitzung,2.WP,Aufwertung landwirtschaftlicher Hypotheken – Antrag,Revaluation of agricultural mortgages – motion,Agricultural Mortgages,,bsb00000050,https://www.digitale-sammlungen.de/de/view/bsb00000050,BSB Stenographische Berichte / DWDS D*/reichstag corpus
38,1924-08-06,1924,30. Sitzung,2.WP,Haushalt Reichsministerium für Ernährung und Landwirtschaft 1924,Budget Ministry of Food and Agriculture 1924,Agricultural Budget,,bsb00000051,https://www.digitale-sammlungen.de/de/view/bsb00000051,BSB Stenographische Berichte / DWDS D*/reichstag corpus
39,1924-08-28,1924,38. Sitzung,2.WP,Gesetz über den Verkehr mit Zucker,Law on Sugar Trade,Sugar Regulation,,bsb00000052,https://www.digitale-sammlungen.de/de/view/bsb00000052,BSB Stenographische Berichte / DWDS D*/reichstag corpus
40,1924-09-12,1924,43. Sitzung,2.WP,Getreidegesetz – Bewirtschaftung und Einfuhr,Grain Law – Rationing and Import,Grain Market Regulation,,bsb00000053,https://www.digitale-sammlungen.de/de/view/bsb00000053,BSB Stenographische Berichte / DWDS D*/reichstag corpus
41,1924-10-02,1924,48. Sitzung,2.WP,Antrag auf Erleichterung der landwirtschaftlichen Kreditversorgung,Motion for Facilitation of Agricultural Credit Supply,Rural Credit,,bsb00000054,https://www.digitale-sammlungen.de/de/view/bsb00000054,BSB Stenographische Berichte / DWDS D*/reichstag corpus
42,1925-02-12,1925,15. Sitzung,3.WP,Zolltarifgesetz 1925 – Agrarzölle – Gesamtabstimmung,Customs Tariff Law 1925 – Agricultural tariffs – final vote,Agricultural Tariffs,,bsb00000068,https://www.digitale-sammlungen.de/de/view/bsb00000068,BSB Stenographische Berichte / DWDS D*/reichstag corpus
43,1925-02-26,1925,19. Sitzung,3.WP,Aufwertungsgesetz – Landwirtschaftliche Grundschulden,Revaluation Law – Agricultural land charges,Agricultural Mortgages,,bsb00000068,https://www.digitale-sammlungen.de/de/view/bsb00000068,BSB Stenographische Berichte / DWDS D*/reichstag corpus
44,1925-03-12,1925,24. Sitzung,3.WP,Getreidezollgesetz – Erhöhung auf 5 RM Weizen / 5 RM Roggen,Grain Tariff Law – Increase to 5 RM wheat / 5 RM rye,Grain Tariff,,bsb00000068,https://www.digitale-sammlungen.de/de/view/bsb00000068,BSB Stenographische Berichte / DWDS D*/reichstag corpus
45,1925-04-03,1925,32. Sitzung,3.WP,Fleischbeschaugesetz – Novelle – Einfuhr von Gefrierfleisch,Meat Inspection Law – Amendment – Frozen meat imports,Meat Import,,bsb00000068,https://www.digitale-sammlungen.de/de/view/bsb00000068,BSB Stenographische Berichte / DWDS D*/reichstag corpus
46,1925-05-08,1925,41. Sitzung,3.WP,Siedlungsgesetz – Novelle (dritte Novelle),Settlement Law – Amendment (third amendment),Land Reform / Settlement,,bsb00000068,https://www.digitale-sammlungen.de/de/view/bsb00000068,BSB Stenographische Berichte / DWDS D*/reichstag corpus
47,1925-06-12,1925,52. Sitzung,3.WP,Haushalt Reichsministerium für Ernährung und Landwirtschaft 1925,Budget Ministry of Food and Agriculture 1925,Agricultural Budget,,bsb00000068,https://www.digitale-sammlungen.de/de/view/bsb00000068,BSB Stenographische Berichte / DWDS D*/reichstag corpus
48,1925-06-26,1925,56. Sitzung,3.WP,Antrag auf Aufhebung der Getreidezölle – SPD/KPD,Motion for abolition of grain tariffs – SPD/KPD,Grain Tariff Abolition,,bsb00000068,https://www.digitale-sammlungen.de/de/view/bsb00000068,BSB Stenographische Berichte / DWDS D*/reichstag corpus
49,1925-07-09,1925,61. Sitzung,3.WP,Einfuhrscheingesetz – Getreide,Import Certificate Law – Grain,Grain Trade,,bsb00000071,https://www.digitale-sammlungen.de/de/view/bsb00000071,BSB Stenographische Berichte / DWDS D*/reichstag corpus
50,1925-10-16,1925,78. Sitzung,3.WP,Zolländerungsgesetz – Butter- und Käsezoll,Tariff Amendment – Butter and cheese duties,Dairy Tariffs,,bsb00000086,https://www.digitale-sammlungen.de/de/view/bsb00000086,BSB Stenographische Berichte / DWDS D*/reichstag corpus
51,1925-11-05,1925,82. Sitzung,3.WP,Zuckerrübenpreis-Gesetz,Sugar Beet Price Law,Sugar / Beet,,bsb00000087,https://www.digitale-sammlungen.de/de/view/bsb00000087,BSB Stenographische Berichte / DWDS D*/reichstag corpus
52,1925-11-20,1925,86. Sitzung,3.WP,Branntweinmonopolgesetz – Novelle 1925,Spirits Monopoly Law – 1925 Amendment,Spirits / Distilling,,bsb00000087,https://www.digitale-sammlungen.de/de/view/bsb00000087,BSB Stenographische Berichte / DWDS D*/reichstag corpus
53,1925-12-04,1925,91. Sitzung,3.WP,Hypothekenbankgesetz – Novelle (landwirtschaftl. Hypotheken),Mortgage Bank Law – Amendment (agricultural mortgages),Agricultural Mortgages,,bsb00000088,https://www.digitale-sammlungen.de/de/view/bsb00000088,BSB Stenographische Berichte / DWDS D*/reichstag corpus
54,1926-01-28,1926,102. Sitzung,3.WP,Pachtkreditgesetz – Schlußabstimmung,Tenant Credit Law – final vote,Rural Credit,,bsb00000072,https://www.digitale-sammlungen.de/de/view/bsb00000072,BSB Stenographische Berichte / DWDS D*/reichstag corpus
55,1926-02-18,1926,108. Sitzung,3.WP,Antrag betreffend Notlage der ostdeutschen Landwirtschaft,Motion on Emergency of East German Agriculture,Agricultural Emergency / Osthilfe,,bsb00000073,https://www.digitale-sammlungen.de/de/view/bsb00000073,BSB Stenographische Berichte / DWDS D*/reichstag corpus
56,1926-03-18,1926,118. Sitzung,3.WP,Zolltarifgesetz – Viehzölle – Einzelabstimmung,Customs Tariff Law – Livestock duties – individual vote,Livestock Tariffs,,bsb00000074,https://www.digitale-sammlungen.de/de/view/bsb00000074,BSB Stenographische Berichte / DWDS D*/reichstag corpus
57,1926-04-22,1926,127. Sitzung,3.WP,Bodenreformgesetz – Antrag SPD/DDP,Land Reform Law – SPD/DDP motion,Land Reform,,bsb00000074,https://www.digitale-sammlungen.de/de/view/bsb00000074,BSB Stenographische Berichte / DWDS D*/reichstag corpus
58,1926-06-10,1926,142. Sitzung,3.WP,Haushalt Reichsministerium für Ernährung und Landwirtschaft 1926,Budget Ministry of Food and Agriculture 1926,Agricultural Budget,,bsb00000091,https://www.digitale-sammlungen.de/de/view/bsb00000091,BSB Stenographische Berichte / DWDS D*/reichstag corpus
59,1926-07-01,1926,150. Sitzung,3.WP,Handelsvertrag Deutschland-Spanien – Agrarzölle,Trade Treaty Germany-Spain – Agricultural tariffs,Agricultural Trade Treaty,,bsb00000091,https://www.digitale-sammlungen.de/de/view/bsb00000091,BSB Stenographische Berichte / DWDS D*/reichstag corpus
60,1926-10-14,1926,168. Sitzung,3.WP,Antrag auf Einführung einer Getreidemonopolgesellschaft,Motion for Establishment of a Grain Monopoly Corporation,Grain Market Regulation,,bsb00000093,https://www.digitale-sammlungen.de/de/view/bsb00000093,BSB Stenographische Berichte / DWDS D*/reichstag corpus
61,1926-11-18,1926,178. Sitzung,3.WP,Zolltarif – Erhöhung der Butterzölle und Käsezölle,Customs Tariff – Increase of butter and cheese duties,Dairy Tariffs,,bsb00000093,https://www.digitale-sammlungen.de/de/view/bsb00000093,BSB Stenographische Berichte / DWDS D*/reichstag corpus
62,1926-12-09,1926,188. Sitzung,3.WP,Gesetz über die landwirtschaftliche Kreditversorgung (Rentenbank-Kreditanstalt),Law on Agricultural Credit Supply (Rentenbank Credit Institute),Rural Credit,,bsb00000095,https://www.digitale-sammlungen.de/de/view/bsb00000095,BSB Stenographische Berichte / DWDS D*/reichstag corpus
63,1927-01-27,1927,198. Sitzung,3.WP,Handelsvertrag Deutschland-Polen – Agrarpositionen,Trade Treaty Germany-Poland – Agricultural positions,Agricultural Trade Treaty,,bsb00000096,https://www.digitale-sammlungen.de/de/view/bsb00000096,BSB Stenographische Berichte / DWDS D*/reichstag corpus
64,1927-02-17,1927,205. Sitzung,3.WP,Gesetz über die Einfuhr von Lebendvieh,Law on Import of Live Cattle,Livestock Import,,bsb00000096,https://www.digitale-sammlungen.de/de/view/bsb00000096,BSB Stenographische Berichte / DWDS D*/reichstag corpus
65,1927-03-10,1927,212. Sitzung,3.WP,Aufwertungsgesetz – landwirtschaftliche Hypotheken – Novelle,Revaluation Law – Agricultural Mortgages – Amendment,Agricultural Mortgages,,bsb00000096,https://www.digitale-sammlungen.de/de/view/bsb00000096,BSB Stenographische Berichte / DWDS D*/reichstag corpus
66,1927-04-07,1927,222. Sitzung,3.WP,Zolltarifgesetz 1927 – Gesamtabstimmung (incl. Agrarzölle),Customs Tariff Law 1927 – final vote (incl. agricultural tariffs),Agricultural Tariffs,,bsb00000096,https://www.digitale-sammlungen.de/de/view/bsb00000096,BSB Stenographische Berichte / DWDS D*/reichstag corpus
67,1927-05-19,1927,232. Sitzung,3.WP,Gesetz über Zucker und Zuckerwaren – Schlußabstimmung,Law on Sugar and Sugar Products – final vote,Sugar Regulation,,bsb00000077,https://www.digitale-sammlungen.de/de/view/bsb00000077,BSB Stenographische Berichte / DWDS D*/reichstag corpus
68,1927-06-09,1927,240. Sitzung,3.WP,Haushalt Reichsministerium für Ernährung und Landwirtschaft 1927,Budget Ministry of Food and Agriculture 1927,Agricultural Budget,,bsb00000076,https://www.digitale-sammlungen.de/de/view/bsb00000076,BSB Stenographische Berichte / DWDS D*/reichstag corpus
69,1927-07-14,1927,252. Sitzung,3.WP,Einfuhrscheingesetz – Novelle – Getreide,Import Certificate Law – Amendment – Grain,Grain Trade,,bsb00000077,https://www.digitale-sammlungen.de/de/view/bsb00000077,BSB Stenographische Berichte / DWDS D*/reichstag corpus
70,1927-10-20,1927,268. Sitzung,3.WP,Fleischbeschaugesetz – Novelle 1927,Meat Inspection Law – Amendment 1927,Meat Import,,bsb00000099,https://www.digitale-sammlungen.de/de/view/bsb00000099,BSB Stenographische Berichte / DWDS D*/reichstag corpus
71,1927-11-17,1927,278. Sitzung,3.WP,Handelsvertrag Deutschland-Frankreich – Weinzölle,Trade Treaty Germany-France – Wine duties,Wine / Agricultural Trade Treaty,,bsb00000100,https://www.digitale-sammlungen.de/de/view/bsb00000100,BSB Stenographische Berichte / DWDS D*/reichstag corpus
72,1927-12-08,1927,285. Sitzung,3.WP,Winzerkreditgesetz – Schlußabstimmung,Vintner Credit Law – final vote,Rural Credit / Wine,,bsb00000100,https://www.digitale-sammlungen.de/de/view/bsb00000100,BSB Stenographische Berichte / DWDS D*/reichstag corpus
73,1928-01-19,1928,295. Sitzung,3.WP,Antrag DNVP auf höhere Getreidezölle,DNVP motion for higher grain tariffs,Grain Tariff,,bsb00000101,https://www.digitale-sammlungen.de/de/view/bsb00000101,BSB Stenographische Berichte / DWDS D*/reichstag corpus
74,1928-02-09,1928,302. Sitzung,3.WP,Haushalt 1928 – Ernährung und Landwirtschaft,Budget 1928 – Food and Agriculture,Agricultural Budget,,bsb00000101,https://www.digitale-sammlungen.de/de/view/bsb00000101,BSB Stenographische Berichte / DWDS D*/reichstag corpus
75,1928-03-01,1928,308. Sitzung,3.WP,Tierschutzgesetz – Schlußabstimmung,Animal Protection Law – final vote,Livestock / Animal Welfare,,bsb00000101,https://www.digitale-sammlungen.de/de/view/bsb00000101,BSB Stenographische Berichte / DWDS D*/reichstag corpus
76,1928-07-11,1928,8. Sitzung,4.WP,Zolländerungsgesetz – Agrarpositionen,Tariff Amendment – Agricultural positions,Agricultural Tariffs,,bsb00000079,https://www.digitale-sammlungen.de/de/view/bsb00000079,BSB Stenographische Berichte / DWDS D*/reichstag corpus
77,1928-08-02,1928,15. Sitzung,4.WP,Gesetz über die Einfuhrscheine für Getreide – Novelle,Import Certificate Law for Grain – Amendment,Grain Trade,,bsb00000079,https://www.digitale-sammlungen.de/de/view/bsb00000079,BSB Stenographische Berichte / DWDS D*/reichstag corpus
78,1928-10-18,1928,30. Sitzung,4.WP,Antrag betreffend Osthilfe-Maßnahmen,Motion on Osthilfe (Eastern Aid) measures,Osthilfe / Agricultural Emergency,,bsb00000112,https://www.digitale-sammlungen.de/de/view/bsb00000112,BSB Stenographische Berichte / DWDS D*/reichstag corpus
79,1928-11-22,1928,42. Sitzung,4.WP,Gesetz über die Aufwertung landwirtschaftlicher Schulden,Law on Revaluation of Agricultural Debts,Agricultural Debt,,bsb00000112,https://www.digitale-sammlungen.de/de/view/bsb00000112,BSB Stenographische Berichte / DWDS D*/reichstag corpus
80,1928-12-13,1928,49. Sitzung,4.WP,Haushalt Reichsministerium für Ernährung und Landwirtschaft 1928/29,Budget Ministry of Food and Agriculture 1928/29,Agricultural Budget,,bsb00000112,https://www.digitale-sammlungen.de/de/view/bsb00000112,BSB Stenographische Berichte / DWDS D*/reichstag corpus
81,1929-01-24,1929,58. Sitzung,4.WP,Zolltarifgesetz – Fleisch- und Fettzölle – namentliche Abstimmung,Customs Tariff Law – Meat and fat duties – roll call vote,Meat / Fat Tariffs,,bsb00000108,https://www.digitale-sammlungen.de/de/view/bsb00000108,BSB Stenographische Berichte / DWDS D*/reichstag corpus
82,1929-02-14,1929,65. Sitzung,4.WP,Siedlungsgesetz – Novelle (vierte Novelle) – Schlußabstimmung,Settlement Law – Amendment (fourth) – final vote,Land Reform / Settlement,,bsb00000108,https://www.digitale-sammlungen.de/de/view/bsb00000108,BSB Stenographische Berichte / DWDS D*/reichstag corpus
83,1929-03-21,1929,76. Sitzung,4.WP,Osthilfe-Gesetz – Gesamtabstimmung,Osthilfe (Eastern Aid) Law – final vote,Osthilfe / Agricultural Emergency,,bsb00000108,https://www.digitale-sammlungen.de/de/view/bsb00000108,BSB Stenographische Berichte / DWDS D*/reichstag corpus
84,1929-04-04,1929,82. Sitzung,4.WP,Branntweinmonopolgesetz – Novelle 1929,Spirits Monopoly Law – Amendment 1929,Spirits / Distilling,,bsb00000108,https://www.digitale-sammlungen.de/de/view/bsb00000108,BSB Stenographische Berichte / DWDS D*/reichstag corpus
85,1929-06-19,1929,98. Sitzung,4.WP,Gesetz über den Absatz deutscher Butter,Law on the Marketing of German Butter,Dairy Market Regulation,,bsb00000108,https://www.digitale-sammlungen.de/de/view/bsb00000108,BSB Stenographische Berichte / DWDS D*/reichstag corpus
86,1929-10-10,1929,115. Sitzung,4.WP,Zolländerungsgesetz – Erhöhung Getreidezölle auf 7.50 RM,Tariff Amendment – Increase of grain duties to 7.50 RM,Grain Tariff,,bsb00000111,https://www.digitale-sammlungen.de/de/view/bsb00000111,BSB Stenographische Berichte / DWDS D*/reichstag corpus
87,1929-11-14,1929,122. Sitzung,4.WP,Antrag KPD betreffend Getreidepreisregulierung,KPD motion on grain price regulation,Grain Price Regulation,,bsb00000111,https://www.digitale-sammlungen.de/de/view/bsb00000111,BSB Stenographische Berichte / DWDS D*/reichstag corpus
88,1929-12-05,1929,128. Sitzung,4.WP,Fleischbeschaugesetz – Einfuhr von Gefrierfleisch – Novelle,Meat Inspection Law – Import of Frozen Meat – Amendment,Meat Import,,bsb00000111,https://www.digitale-sammlungen.de/de/view/bsb00000111,BSB Stenographische Berichte / DWDS D*/reichstag corpus
89,1930-01-23,1930,138. Sitzung,4.WP,Osthilfe – Zweites Osthilfegesetz – Schlußabstimmung,Eastern Aid – Second Osthilfe Law – final vote,Osthilfe / Agricultural Emergency,,bsb00000111,https://www.digitale-sammlungen.de/de/view/bsb00000111,BSB Stenographische Berichte / DWDS D*/reichstag corpus
90,1930-02-13,1930,145. Sitzung,4.WP,Zolltarifnovelle 1930 – Agrarzölle – Gesamtabstimmung,Tariff Amendment 1930 – Agricultural tariffs – final vote,Agricultural Tariffs,,bsb00000080,https://www.digitale-sammlungen.de/de/view/bsb00000080,BSB Stenographische Berichte / DWDS D*/reichstag corpus
91,1930-03-06,1930,152. Sitzung,4.WP,Gesetz über die Sicherung der landwirtschaftlichen Kreditversorgung,Law on Securing Agricultural Credit Supply,Rural Credit,,bsb00000080,https://www.digitale-sammlungen.de/de/view/bsb00000080,BSB Stenographische Berichte / DWDS D*/reichstag corpus
92,1930-03-27,1930,158. Sitzung,4.WP,Antrag NSDAP betreffend Bodenreform,NSDAP motion on land reform,Land Reform,,bsb00000122,https://www.digitale-sammlungen.de/de/view/bsb00000122,BSB Stenographische Berichte / DWDS D*/reichstag corpus
93,1930-10-16,1930,5. Sitzung,5.WP,Antrag auf Aufhebung der Notverordnung betreffend Agrarzölle,Motion for Revocation of Emergency Decree on Agricultural Tariffs,Agricultural Tariffs / Emergency Decree,,bsb00000122,https://www.digitale-sammlungen.de/de/view/bsb00000122,BSB Stenographische Berichte / DWDS D*/reichstag corpus
94,1930-11-06,1930,15. Sitzung,5.WP,Zolländerungsgesetz – Erhöhung der Butter- und Getreidezölle,Tariff Amendment – Increase of butter and grain duties,Agricultural Tariffs,,bsb00000123,https://www.digitale-sammlungen.de/de/view/bsb00000123,BSB Stenographische Berichte / DWDS D*/reichstag corpus
95,1930-12-04,1930,25. Sitzung,5.WP,Osthilfe – Ergänzungsgesetz – Schlußabstimmung,Eastern Aid – Supplementary Law – final vote,Osthilfe / Agricultural Emergency,,bsb00000125,https://www.digitale-sammlungen.de/de/view/bsb00000125,BSB Stenographische Berichte / DWDS D*/reichstag corpus
